,identifier,scroll_id,panel_id,animal_label,myth_label,tree_label,image_path,text
0,scroll_001-pulin-panel_01,1_1,1,1,1,0,/workspace/folk/all_data/s1_1/img/s1.jpg,"Hail Durga, Ma Tara, destroyer of sorrows. Invincible as the strong southern winds, she is Nagendranandini (daughter of the king of mountains). As Ma Chandi, her ten arms stretch in ten directions. Her third eye shines brightly in the middle of her forehead. Lakshmi, with Saraswati on her left, Kartik and Ganesh Along with the lion, the Asura, Joya and Bijoya accompany the Mother."
1,scroll_001-pulin-panel_02,1_1,2,0,1,1,/workspace/folk/all_data/s1_1/img/s2.jpg,"One day, the goddess Durga bestowed her grace And revealed a cache of precious gems in a pomegranate grove. Kalketu found the treasure under the pomegranate tree (With this) he cleared the forest named Gujarat and established a town. Two more pots of gems remained. Which Kalketu filled into jars. Sealing them carefully, he carried the jars home Where the beautiful Khullona (Phullora) waited at the doorway of her thatched hut For twelve years, the ascetic had been languishing in jail. Meanwhile, Khullona had given birth to (their son) Srimonto Srimonto grew up to be a bright young man And wished to go out in search of his father. “You are my only son, the light of my life,” (cried Khullona) “If you leave for even a moment, I shall feel abandoned. “ But, if you must go, do pray to Durga.” On being invoked, Chandi (Durga) appeared And Khullona handed over Srimonto to the goddess."
2,scroll_001-pulin-panel_03,1_1,3,0,1,0,/workspace/folk/all_data/s1_1/img/s3.jpg,"Shouting “Hail Durga,” Srimonto boarded the boat And the boatmen set sail. They were sailing peacefully over the waters When at Magora, struck by misfortune, they were caught in a terrible storm. (And Srimonto witnessed a strange sight:) A beautiful lady seated on a lotus was swallowing an elephant. She was Kamal Kamini (a form of Durga) atop a hundred petalled lotus. She was the mother of Ganesh, swallowing an elephant. Srimonto, moved by this wondrous sight Bowed and offered his salutations a million times."
3,scroll_001-pulin-panel_04,1_1,4,0,0,0,/workspace/folk/all_data/s1_1/img/s4.jpg,"Finally, the boat docked at Ratnamala quay to the sound of kettledrums. Seeing them, the guards and wardens of the kingdom whispered among themselves. It seemed as if everyone was looting the kingdom And the king was kept totally in the dark."
4,scroll_001-pulin-panel_05,1_1,5,0,0,0,/workspace/folk/all_data/s1_1/img/s5.jpg,"The king Shalbahon was seated on a jewelled throne. Srimonto stood before him with folded hands And said, “In your kingdom, O king, resides Kamal Kamini. “I witnessed this woman swallowing an elephant.” The king ordered Srimonto to show him this sight. And promised him half of his kingdom and his daughter’s hand in marriage in return. But if Srimonto failed to show him the scene, the king warned He would be beheaded at the execution ground in the south."
5,scroll_001-pulin-panel_06,1_1,6,0,1,0,/workspace/folk/all_data/s1_1/img/s6.jpg,"The king travelled to Kalidaho to see Kamal Kamini. But to Srimonto’s embarrassment, the vision did not appear. The goddess Bhagoboti stayed hidden among the lotuses. Wishing to upset Srimonto, she did not reveal herself."
6,scroll_001-pulin-panel_07,1_1,7,1,0,1,/workspace/folk/all_data/s1_1/img/s7.jpg,"The enraged king summoned the warden and had Srimonto chained. Bound in chains and in pain, Srimonto started weeping. And as he wept, he invoked Durga “Oh Shankari,” he cried, “I shall die, but you seem to be unconcerned “That your name, Trailokyotarini will be tarnished.” Chandi, who in the form of a kite, was flying in the sky (heard his prayer). She assumed the garb of an aged Brahmin woman and appeared before Srimonto."
7,scroll_001-pulin-panel_08,1_1,8,0,1,0,/workspace/folk/all_data/s1_1/img/s8.jpg,"His chains fell away from him And a tearful Srimonto cried out in relief. With her eighteen arms Mother (Chandi) stood before him at the execution ground. “Whose home have you visited, Ma? Who worshipped you? “My life has become worthwhile, Mother, having seen your eighteen arms.”"
8,scroll_001-pulin-panel_09,1_1,9,0,0,0,/workspace/folk/all_data/s1_1/img/s9.jpg,"“I hereby grant you a boon, Srimonto”, (Durga replied) “You shall go and marry the daughter of King Shalbahon.” Thus, Srimonto married the princess Sushila."
9,scroll_001-pulin-panel_10,1_1,10,0,0,0,/workspace/folk/all_data/s1_1/img/s10.jpg,"After the wedding, Srimonto returned home"
10,scroll_001-pulin-panel_11,1_1,11,1,0,0,/workspace/folk/all_data/s1_1/img/s11.jpg,Where Khullona was herding goats in the forest of Aruna. Srimonto (also) rescued his father and brought him home.
11,scroll_001-pulin-panel_12,1_1,12,1,1,0,/workspace/folk/all_data/s1_1/img/s12.jpg,"And installing the sacred water pot, introduced the custom of Durga Puja (worship). Garlanded with hibiscus and jasmine Shankar Bhabani (Durga) seemed to beckon from afar.  And here ends my recitation. I, the writer, am Bahar Chitrakar of Medinipur. Ah, Medinipur is where I live."
12,scroll_002-seramuddin-panel_01,1_2,1,1,1,0,/workspace/folk/all_data/s1_2/img/s1.jpg,"Hail Durga, Ma Tara, destroyer of sorrows. Invincible as the strong southern winds, she is Nagendranandini (daughter of the king of mountains). As Ma Chandi, her ten arms stretch in ten directions. Her third eye shines brightly in the middle of her forehead. Lakshmi, with Saraswati on her left, Kartik and Ganesh Along with the lion, the Asura, Joya and Bijoya accompany the Mother."
13,scroll_002-seramuddin-panel_02,1_2,2,0,0,0,/workspace/folk/all_data/s1_2/img/s2.jpg,"One day, the goddess Durga bestowed her grace And revealed a cache of precious gems in a pomegranate grove. Kalketu found the treasure under the pomegranate tree (With this) he cleared the forest named Gujarat and established a town. Two more pots of gems remained. Which Kalketu filled into jars. Sealing them carefully, he carried the jars home Where the beautiful Khullona (Phullora) waited at the doorway of her thatched hut For twelve years, the ascetic had been languishing in jail. Meanwhile, Khullona had given birth to (their son) Srimonto Srimonto grew up to be a bright young man And wished to go out in search of his father."
14,scroll_002-seramuddin-panel_03,1_2,3,0,1,0,/workspace/folk/all_data/s1_2/img/s3.jpg,"“You are my only son, the light of my life,” (cried Khullona) “If you leave for even a moment, I shall feel abandoned. “ But, if you must go, do pray to Durga.” On being invoked, Chandi (Durga) appeared And Khullona handed over Srimonto to the goddess. Shouting “Hail Durga,” Srimonto boarded the boat And the boatmen set sail. They were sailing peacefully over the waters When at Magora, struck by misfortune, they were caught in a terrible storm. (And Srimonto witnessed a strange sight:) A beautiful lady seated on a lotus was swallowing an elephant. She was Kamal Kamini (a form of Durga) atop a hundred petalled lotus. She was the mother of Ganesh, swallowing an elephant. Srimonto, moved by this wondrous sight Bowed and offered his salutations a million times.  Finally, the boat docked at Ratnamala quay to the sound of kettledrums. Seeing them, the guards and wardens of the kingdom whispered among themselves. It seemed as if everyone was looting the kingdom And the king was kept totally in the dark."
15,scroll_002-seramuddin-panel_04,1_2,4,0,0,0,/workspace/folk/all_data/s1_2/img/s4.jpg,"The king Shalbahon was seated on a jewelled throne. Srimonto stood before him with folded hands And said, “In your kingdom, O king, resides Kamal Kamini. “I witnessed this woman swallowing an elephant.” The king ordered Srimonto to show him this sight. And promised him half of his kingdom and his daughter’s hand in marriage in return. But if Srimonto failed to show him the scene, the king warned He would be beheaded at the execution ground in the south.  The king travelled to Kalidaho to see Kamal Kamini. But to Srimonto’s embarrassment, the vision did not appear. The goddess Bhagoboti stayed hidden among the lotuses."
16,scroll_002-seramuddin-panel_05,1_2,5,0,1,0,/workspace/folk/all_data/s1_2/img/s5.jpg,"Wishing to upset Srimonto, she did not reveal herself.  The enraged king summoned the warden and had Srimonto chained. Bound in chains and in pain, Srimonto started weeping. And as he wept, he invoked Durga “Oh Shankari,” he cried, “I shall die, but you seem to be unconcerned “That your name, Trailokyotarini will be tarnished.” Chandi, who in the form of a kite, was flying in the sky (heard his prayer). She assumed the garb of an aged Brahmin woman and appeared before Srimonto.  His chains fell away from him And a tearful Srimonto cried out in relief. With her eighteen arms Mother (Chandi) stood before him at the execution ground. “Whose home have you visited, Ma? Who worshipped you? “My life has become worthwhile, Mother, having seen your eighteen arms.” "
17,scroll_002-seramuddin-panel_06,1_2,6,0,1,0,/workspace/folk/all_data/s1_2/img/s6.jpg,"“I hereby grant you a boon, Srimonto”, (Durga replied) “You shall go and marry the daughter of King Shalbahon.” Thus, Srimonto married the princess Sushila.  After the wedding, Srimonto returned home  Where Khullona was herding goats in the forest of Aruna. Srimonto (also) rescued his father and brought him home.  And installing the sacred water pot, introduced the custom of Durga Puja (worship). Garlanded with hibiscus and jasmine Shankar Bhabani (Durga) seemed to beckon from afar.  And here ends my recitation. I, the writer, am Bahar Chitrakar of Medinipur. Ah, Medinipur is where I live."
18,scroll_003-bahar-panel_01,1_3,1,0,0,1,/workspace/folk/all_data/s1_3/img/s1.jpg,"(Standing) under a tree, Krishna played his flute. Upon hearing the melody, the gopis of Braja can barely stay still. Some dance, some sing, while the rest chant (the name of) Hari. With Radha’s name on their lips, the sakhis roll on the ground in ecstasy. The lord (Krishna) has dressed his turban with a peacock feather. Garlands from the different flowers of Braja adorn his head And to the tinkling of cymbals and wooden clappers, a Bakul flower is added atop his head. On his feet, the Lord has tied anklets."
19,scroll_003-bahar-panel_02,1_3,2,0,1,1,/workspace/folk/all_data/s1_3/img/s2.jpg,"The Lord hurried to Bidur’s abode. Raja Duryadhana covered his mouth with a cloth and sniggered. “Bidur, are you home? O Bidur are you home? “For three days I have fasted at your abode. Bidur, the Vaishnav was so absorbed in the adoration of Hari That he put a banana peel into Krishna’s mouth, discarding the banana. “If I am born a human in my next life I shall sing praises of Krishna with all my heart.”"
20,scroll_003-bahar-panel_03,1_3,3,0,1,1,/workspace/folk/all_data/s1_3/img/s3.jpg,"Ganga came on a shark, Yama on a buffalo Govinda came on Garuda; the king was disturbed."
21,scroll_003-bahar-panel_04,1_3,4,1,1,0,/workspace/folk/all_data/s1_3/img/s4.jpg,"(While) the Sun and the Moon rose at the abode of Kamsa To Daivaki’s womb,the Lord went to be born. Mother Daivaki was fast asleep on her bed. Standing near her head, the Lord caused her to dream. O Mother Daivaki, why do you slumber so deep? Govinda seeks shelter in your womb. In her slumber, the queen narrated a story: “In my womb, my dear, there is no space left. “To six sons, I had given birth, but Kamsa has slayed them all. “Stricken with grief, I have been weeping ever since.” In the form of a white fly, (Govinda) crept into her womb. The first month passed; the second month too. Upon the tenth day of the tenth month the news spread. On the eighth lunar day of Bhadra, Govinda was born. Daivaki had given birth to Lord Narayana."
22,scroll_003-bahar-panel_05,1_3,5,1,1,0,/workspace/folk/all_data/s1_3/img/s5.jpg,"Picking up his son still covered in birth fluid Basudeva gently kissed his face. “I have walked and walked; much time has passed.” The waves of the dark Yamuna (Kalindi) soared in a tumult. The water, earlier knee-high, rose to the height of a bamboo pole. Lord Krishna slipped (from his father’s arms) and started floating upon a lotus leaf. “O, what has happened! This wretched fate of mine! “What a catastrophe I have to deal with at this advanced age of mine.” Basudeva’s lamentations yielded (Krishna’s) sympathy. Keeping two hands with the river (the child) climbed back on to his lap."
23,scroll_003-bahar-panel_06,1_3,6,0,1,0,/workspace/folk/all_data/s1_3/img/s6.jpg,"Krishna was exchanged at the house of Nanda (for a newborn baby girl). (On being hugged by Devaki) the girl began to cry. Hearing the cry, Kamsa’s messenger, who knows where he was hiding, instantly appeared at the doorway. Snatching the child, he hurled her upon a stone. But slipping from his grasp, young Durga flew up to heaven. From the heavenly Himalayas, she spoke. “What will you achieve, O hero, by killing me? “The one who shall kill you will be Gokul-born.” Hearing the heavenly prophesy (he) started speaking (crying).  The foolish milkman’s daughter, realizing nothing Placed (the little) Sri Hari on the demoness’ lap. The (baby) Narayana gurgled delightedly And started suckling (at her breast), drinking the demoness’ milk."
24,scroll_003-bahar-panel_07,1_3,7,0,1,0,/workspace/folk/all_data/s1_3/img/s7.jpg,"He suckled again and sucked Putana’s life out. Howling with pain, Putana fell dead to the ground. And all the living creatures there dragged her out."
25,scroll_003-bahar-panel_08,1_3,8,1,0,0,/workspace/folk/all_data/s1_3/img/s8.jpg,Krishna slayed Agasura and the bird Bagasura in the water.
26,scroll_003-bahar-panel_09,1_3,9,1,1,1,/workspace/folk/all_data/s1_3/img/s9.jpg,"He ripped off the horse Keshari’s head with a whack. All the heads steeped in sin, tumbled noisily to the ground."
27,scroll_003-bahar-panel_10,1_3,10,1,1,1,/workspace/folk/all_data/s1_3/img/s10.jpg,"Tying up the calf, Yashoda milked the cow. The two brothers Krishna-Balarama stole the butter. Fortunate Mother Yashoda (who) had been churning buttermilk With a rope Yashoda tied them up. Having feasted of the curd and milk, the Lord lay down to sleep"
28,scroll_003-bahar-panel_11,1_3,11,1,1,1,/workspace/folk/all_data/s1_3/img/s11.jpg,"(When) the two-faced Sakat arrived to carry him away to Mathura. With an umbrella upon his shoulders, a stick in his hand, he crossed (the river) with his cattle. And carried Kamala, the calf, across so that she would not drown. In bounteous palm and honey forests, Krishna rejoiced (with his friends). While his cattle grazed, Krishna played in the forest."
29,scroll_003-bahar-panel_12,1_3,12,0,0,1,/workspace/folk/all_data/s1_3/img/s12.jpg,"The night of Ram (Navami) ended and unaccompanied by their husbands All the sakhis walked towards the Yamuna for a bath. Govinda stole all their clothes And then threw the clothes back, one by one."
30,scroll_003-bahar-panel_13,1_3,13,0,1,0,/workspace/folk/all_data/s1_3/img/s13.jpg,"“You are such a handsome boatman, (but) your boat is broken.” “It’s not a broken boat O sakhi, but a charioteer’s boat. “I have carried horses and elephants across, how heavy could you be? “Sit as you please O sakhi, in front of me or up ahead. “Droplets of water may trickle in, don’t giggle with shame. “I will take an anna each to carry all your companions. “But to row Sri Radhika across, I shall take a gold earring. “To carry all the sakhis across I will take a buri apiece “But to carry Sri Radhika across, I shall have the bangles on her wrist.” Lord Narayan preserved Radhika’s honour. (Thus) Ayan Ghosh stood bemused as he beheld Srimati (Radha) offering flowers at the feet of Kali. A serpent wound itself around the Lord. In agony from the poison, the Lord turned blue. Endangered, as he was, the Lord evoked Garuda. Hearing Garuda’s roar, the serpent fled to the netherworld."
31,scroll_003-bahar-panel_14,1_3,14,1,1,0,/workspace/folk/all_data/s1_3/img/s14.jpg,"Saved from the serpent, (Krishna) performed the raasa.  In Vrindavana, Raasa was celebrated in the bowers of sixteen-hundred gopinis. Each gopi danced joyously in her own bower. Within the bowers, Madhusudan (Krishna) played his flute."
32,scroll_003-bahar-panel_15,1_3,15,1,0,0,/workspace/folk/all_data/s1_3/img/s15.jpg,"Whoever drives the chariot must slay the gopis first. Seizing the chariot’s wheels, the gopis threw themselves on the ground.   The story of Krishna’s raasaleela is hereby completed. By the virtue of Krishna’s raasaleela everything thrives eternally. This is where I end my poetic offering. Medinipur’s Bahar Chitrakar is the name of the author. O, Medinipur is the address. "
33,scroll_004-bahar-panel_01,1_4,1,0,0,1,/workspace/folk/all_data/s1_4/img/s1.jpg,"When the divine Krishna plays his flute under the shade of a tree All the gopis of Braj go into raptures. Some dance, some sing while some chant “Hari”. With Radha’s name on their lips, they roll on the ground in ecstasy. The lord (Krishna) has tied his turban with a peacock feather. A garland made from all the flowers of Braj adorns his head. To the tinkling of cymbals, a Bakul flower is added to the garland. On his feet the Lord has worn anklets."
34,scroll_004-bahar-panel_02,1_4,2,0,0,1,/workspace/folk/all_data/s1_4/img/s2.jpg,"A veiled Radha is on her way to the river to collect water. Her gait is graceful and alluring. As the sun sets, she sees Kanai (Krishna) waiting by the pond.  Seeing him, Radha quickly draws her veil across herself. She berates him: “I have had to cover my bosom on your account. “Who has summoned you here, shameless Kanai (Krishna)? “ “Nobody has sent for me, Aunt; I have come on my own. “ (Radha responds:) “You are my nephew and I, your aunt.” (Krishna replies:) “If you are my maternal uncle’s wife, indeed you belong to another family. “I, the shameless Kanai, am only teasing you.”"
35,scroll_004-bahar-panel_03,1_4,3,1,0,0,/workspace/folk/all_data/s1_4/img/s3.jpg,"(Responds Radha:) “Let Nanda Ghosh (Krishna’s adoptive father) come here and I shall fix you. “The cows of your shed shall be sold and I shall humble you.” “Let my cows be lost,” (says Krishna); “I shall rear cows afresh. “But where will I find an aunt as beautiful as you?” “Why do you yearn for someone else’s woman? “Go home and ask your father to get you married off!” “I did try, Aunt,” says Krishna, “but my fate has been sealed. “I am to marry someone who is called Radha.  “Don’t keep calling me dark, Bhanu Ghosh’s daughter. “God has made me dark, what can I do? “The waters of the Yamuna are dark, so why do you fill your pitcher with it? “Your bosom will be my pitcher, your hair my rope. “For me, your heart is the water of the Yamuna. “I will drown myself in these waters – this is my desire.”"
36,scroll_004-bahar-panel_04,1_4,4,1,0,0,/workspace/folk/all_data/s1_4/img/s4.jpg,Krishna is filled with remorse. He commands his flute to turn into a black snake. The flute-turned-snake lies in wait on the road.
37,scroll_004-bahar-panel_05,1_4,5,1,0,0,/workspace/folk/all_data/s1_4/img/s5.jpg,"Curling around her right ankle, it bites Radha’s left ankle. Radha (in desperation) agrees to whatever Krishna had asked for. “The snake has bitten me, save me please,” she cries. “Tell me truthfully, aunt,“ (says Krishna) “how far has the poison spread?” “It has spread to every part of my body,” she cries. Krishna then, using his divine touch, drives away the poison from her body. Rid of the poison, Radha opens her eyes."
38,scroll_004-bahar-panel_06,1_4,6,0,1,0,/workspace/folk/all_data/s1_4/img/s6.jpg,"Krishna now assumes the form of Krishna Kali. Ayan Ghosh stands there in deep thought, observing the scene. Seeing Radha offering flowers at Kali’s feet He orders Jotila and Kutila not to disturb Radha. And that is how aunt and nephew are united."
39,scroll_004-bahar-panel_07,1_4,7,0,0,1,/workspace/folk/all_data/s1_4/img/s7.jpg,"And here I end my recitation. I, the writer, am Bahar Chitrakar And I live in Medinipur. Ah, Medinipur is where I live."
40,scroll_005-seramuddin-panel_01,1_5,1,0,0,1,/workspace/folk/all_data/s1_5/img/s1.jpg,"When the divine Krishna plays his flute under the shade of a tree All the gopis of Braj go into raptures. Some dance, some sing while some chant “Hari”. With Radha’s name on their lips, they roll on the ground in ecstasy. The lord (Krishna) has tied his turban with a peacock feather. A garland made from all the flowers of Braj adorns his head. To the tinkling of cymbals, a Bakul flower is added to the garland. On his feet the Lord has worn anklets."
41,scroll_005-seramuddin-panel_02,1_5,2,0,1,0,/workspace/folk/all_data/s1_5/img/s2.jpg,"A veiled Radha is on her way to the river to collect water. Her gait is graceful and alluring. As the sun sets, she sees Kanai (Krishna) waiting by the pond."
42,scroll_005-seramuddin-panel_03,1_5,3,0,0,1,/workspace/folk/all_data/s1_5/img/s3.jpg,"Seeing him, Radha quickly draws her veil across herself. She berates him: “I have had to cover my bosom on your account. “Who has summoned you here, shameless Kanai (Krishna)? “ “Nobody has sent for me, Aunt; I have come on my own. “ (Radha responds:) “You are my nephew and I, your aunt.” (Krishna replies:) “If you are my maternal uncle’s wife, indeed you belong to another family. “I, the shameless Kanai, am only teasing you.”"
43,scroll_005-seramuddin-panel_04,1_5,4,0,1,0,/workspace/folk/all_data/s1_5/img/s4.jpg,(Responds Radha:) “Let Nanda Ghosh (Krishna’s adoptive father) come here and I shall fix you. “The cows of your shed shall be sold and I shall humble you.”
44,scroll_005-seramuddin-panel_05,1_5,5,1,1,0,/workspace/folk/all_data/s1_5/img/s5.jpg,"“Let my cows be lost,” (says Krishna); “I shall rear cows afresh. “But where will I find an aunt as beautiful as you?”"
45,scroll_005-seramuddin-panel_06,1_5,6,0,1,0,/workspace/folk/all_data/s1_5/img/s6.jpg,"“Why do you yearn for someone else’s woman? “Go home and ask your father to get you married off!” “I did try, Aunt,” says Krishna, “but my fate has been sealed. “I am to marry someone who is called Radha."
46,scroll_005-seramuddin-panel_07,1_5,7,0,0,1,/workspace/folk/all_data/s1_5/img/s7.jpg,"“Don’t keep calling me dark, Bhanu Ghosh’s daughter. “God has made me dark, what can I do? “The waters of the Yamuna are dark, so why do you fill your pitcher with it? “Your bosom will be my pitcher, your hair my rope. “For me, your heart is the water of the Yamuna. “I will drown myself in these waters – this is my desire.”"
47,scroll_005-seramuddin-panel_08,1_5,8,1,1,0,/workspace/folk/all_data/s1_5/img/s8.jpg,"Krishna is filled with remorse. He commands his flute to turn into a black snake. The flute-turned-snake lies in wait on the road. Curling around her right ankle, it bites Radha’s left ankle. Radha (in desperation) agrees to whatever Krishna had asked for. “The snake has bitten me, save me please,” she cries. “Tell me truthfully, aunt,“ (says Krishna) “how far has the poison spread?” “It has spread to every part of my body,” she cries. Krishna then, using his divine touch, drives away the poison from her body. Rid of the poison, Radha opens her eyes."
48,scroll_005-seramuddin-panel_09,1_5,9,0,1,0,/workspace/folk/all_data/s1_5/img/s9.jpg,"Krishna now assumes the form of Krishna Kali. Ayan Ghosh stands there in deep thought, observing the scene. Seeing Radha offering flowers at Kali’s feet He orders Jotila and Kutila not to disturb Radha. And that is how aunt and nephew are united.  And here I end my recitation. I, the writer, am Bahar Chitrakar And I live in Medinipur. Ah, Medinipur is where I live."
